NodeID,Score
286,0.0001238407
3473,0.0001224568
4951,0.0001203936
3890,0.0001194973
7365,0.0001181801
6359,0.0001173365
4352,0.0001138288
7032,0.0001134991
7541,0.0001132182
3699,0.0001128711
4877,0.0001116499
3242,0.0001105050
6503,0.0001099259
4221,0.0001094188
7293,0.0001089835
2276,0.0001088110
1189,0.0001088039
1441,0.0001073085
1866,0.0001068005
8602,0.0001065109
5012,0.0001065104
2342,0.0001064266
4660,0.0001060506
7353,0.0001056645
1237,0.0001056046
257,0.0001055985
8036,0.0001055153
8314,0.0001055146
7633,0.0001054515
2797,0.0001053641
6901,0.0001049150
5303,0.0001047810
9602,0.0001047517
7451,0.0001047076
2289,0.0001045548
6579,0.0001041080
1522,0.0001041022
7833,0.0001039253
7036,0.0001037962
3916,0.0001037655
1312,0.0001036452
2026,0.0001033805
8754,0.0001032789
9559,0.0001030922
3279,0.0001030541
4384,0.0001030344
5553,0.0001029741
248,0.0001029161
2568,0.0001028560
1279,0.0001028465
3683,0.0001023525
1169,0.0001022871
7016,0.0001021102
6180,0.0001020698
8914,0.0001020196
7846,0.0001020105
7497,0.0001018576
5798,0.0001015832
6898,0.0001015754
2730,0.0001014178
6655,0.0001014159
1890,0.0001014038
8065,0.0001013894
9287,0.0001012941
5421,0.0001010753
9367,0.0001009527
6500,0.0001008966
517,0.0001008732
8561,0.0001008555
4240,0.0001008137
5568,0.0001004737
3545,0.0001003486
8550,0.0001003130
200,0.0001002521
9747,0.0001000686
2645,0.0000999216
3145,0.0000998939
1490,0.0000998367
9043,0.0000997513
614,0.0000997513
8517,0.0000997446
1340,0.0000997340
70,0.0000995279
1798,0.0000994966
7220,0.0000993161
348,0.0000993157
1042,0.0000991519
7854,0.0000987017
9910,0.0000986912
8278,0.0000986837
472,0.0000985956
6158,0.0000985817
3340,0.0000985316
226,0.0000985277
6030,0.0000985084
1493,0.0000984265
8937,0.0000983462
9520,0.0000983053
3483,0.0000981841
2794,0.0000981172
